nome;poligono;lat;long;uf;municipio;situacao_operacional
Cadam S.A.;;-0.893666666666667;-52.3789708333333;AP;Vitória do Jari;1
Catalao;;-18.1508408333333;-47.7821363888889;GO;Ouvidor;1
Niobras Mineração Ltda;;-18.14625;-47.8058890277778;GO;Ouvidor;1
J. G. de A. FERREIRA MINERADORA EIRELI;;-6.58219444444444;-43.9662222222222;MA;Pastos Bons;1
Mosaic Fertilizantes P&K S.A. Filial: Araxa;;-19.6413527777778;-46.9738497222222;MG;Araxá;1
Mineração Usiminas S.A.;;-20.1253333333333;-44.4104722222222;MG;Mateus Leme;1
Mineração Corumbaense Reunida Sa;;-19.1919383333334;-57.6141859722223;MS;Corumbá;1
Alta Floresta Gold Mineração Ltda.;;-10.8024861111111;-55.1861555555556;MT;Nova Santa Helena;1
Avb Mineração Ltda.;;-6.24496527777778;-49.7465663888889;PA;Curionópolis;1
White Solder Metalurgia e Mineração - Sol Nascente;;-9.62227777777778;-63.0608611111111;RO;Rio Crespo;1
Cooperativa Mineradora dos Garimpeiros de Ariquemes;;-11.1485833333333;-62.4274722222223;RO;Urupá;1
Gabriella Mineração Ltda;;-28.5772777777778;-49.4421944444444;SC;Siderópolis;1
Uilson Romanha & Cia Ltda;;-23.6590833333333;-48.0013988888889;SP;Itapetininga;1
Geominas Minerações Ltda.;;-11.6493277777778;-47.6761777777778;TO;Natividade;1
