nome;long;lat;municipio__id;municipio;uf
Cadam S.A.;-52.3789708333333;-0.893666666666667;1600809;Vitória do Jari;AP
Catalao;-47.7821363888889;-18.1508408333333;5215504;Ouvidor;GO
Niobras Mineração Ltda;-47.8058890277778;-18.14625;5215504;Ouvidor;GO
J. G. de A. FERREIRA MINERADORA EIRELI;-43.9662222222222;-6.58219444444444;2108009;Pastos Bons;MA
Mosaic Fertilizantes P&K S.A. Filial: Araxa;-46.9738497222222;-19.6413527777778;3104007;Araxá;MG
Mineração Usiminas S.A.;-44.4104722222222;-20.1253333333333;3140704;Mateus Leme;MG
Mineração Corumbaense Reunida Sa;-57.6141859722223;-19.1919383333334;5003207;Corumbá;MS
Alta Floresta Gold Mineração Ltda.;-55.1861555555556;-10.8024861111111;5106190;Nova Santa Helena;MT
Avb Mineração Ltda.;-49.7465663888889;-6.24496527777778;1502772;Curionópolis;PA
White Solder Metalurgia e Mineração - Sol Nascente;-63.0608611111111;-9.62227777777778;1100262;Rio Crespo;RO
Cooperativa Mineradora dos Garimpeiros de Ariquemes;-62.4274722222223;-11.1485833333333;1101708;Urupá;RO
Gabriella Mineração Ltda;-49.4421944444444;-28.5772777777778;4217600;Siderópolis;SC
Uilson Romanha & Cia Ltda;-48.0013988888889;-23.6590833333333;3522307;Itapetininga;SP
Geominas Minerações Ltda.;-47.6761777777778;-11.6493277777778;1714203;Natividade;TO
